Name,Link,Rating,Enroll,Instructor,Time,Level,Price,Practice Task,Knowledge,Programing Language,Tool,Platform,Framework,Program,Subtitle,Subject,Organization
UX Design Fundamentals,https://www.coursera.org/learn/ux-design-fundamentals?specialization=ui-ux-design,4.8,74662,Michael Worthington,13 hours,Beginner,Free,,"user interface (ui),user experience (ux)",,"adobe xd,adobe illustrator,invison,marvel,adobe indesign",,,UI / UX Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Arts and Humanities,California Institute of the Arts
Introduction to UI Design,https://www.coursera.org/learn/ui-design?specialization=user-interface-design,4.7,58674,"Haiyi Zhu,Loren Terveen",14 hours,Beginner,Free,,"usability,user interface (ui),deisgn theory",,,,,User Interface Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Minnesota
User Research and Design,https://www.coursera.org/learn/design-research?specialization=user-interface-design,4.6,19162,"Haiyi Zhu,Loren Terveen,Lana Yarosh",8 hours,,Free,,"user interface,user research",,,,,User Interface Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Minnesota
Prototyping and Design,https://www.coursera.org/learn/prototyping-design?specialization=user-interface-design,4.6,18,"Haiyi Zhu,Loren Terveen,Lana Yarosh",11 hours,,Free,,"prototype,user interface,user research,graphic design,design pattern",,,,,User Interface Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Minnesota
Evaluating User Interfaces,https://www.coursera.org/learn/ui-testing?specialization=user-interface-design,4.7,13248,"Haiyi Zhu,Loren Terveen,Lana Yarosh",12 hours,,Free,,"user research,heuristic evalutation,user interface,usability testing",,,,,User Interface Design Specialization,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Minnesota
vpn,https://www.udemy.com/course/software-defined-networking-with-vmware-nsx/,4.4,3,Packt Publishing,3.5 hours,,$13.99 ,,"routing,firewall,vpn",,,vmware nsx,,,English,Network & Security,
The Absolute Beginners Guide to Cyber Security 2021 - Part 1,https://www.udemy.com/course/the-absolute-beginners-guide-to-information-cyber-security/,4.6,55,Alexander Oni,4 hours,,$13.99 ,,"protocol,hacking methodology,phishing,brute force attack,dos & ddos attacks,bots and botnets,viruses,worms,trojan,antivirus,encryption,biometric,authentication",,,,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish,Thai",Network & Security,
The Absolute Beginners Guide to Cyber Security 2021 - Part 2,https://www.udemy.com/course/the-complete-2018-cyber-security-guide-for-non-professionals/,4.6,18270,Alexander Oni,6.5 hours,,$14.99 ,,"vpn,firewall,proxy,server",,"kaspersky antivirus,bitlocker,bleachbit,tor,ccleaner,protonmail,duckduck go,brave brower",windows,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish,Thai",Network & Security,
Java Network Programming: Recipes for Building Web Services,https://www.udemy.com/course/java-network-programming-recipes-for-building-web-services/,3.4,142,Packt Publishing,9.5 hours,,$13.99 ,,"tcp/ip,udp/ip,websocket,http,protocol,soap,rest",java,idk9,,,,English,Network & Security,
Cisco - TCP/IP & OSI Network Architecture Models,https://www.udemy.com/course/cisco-tcpip-osi-network-architecture-models/,4.5,7841,Keith Gebbardt,1.5 hours,,$14.99 ,,"osi,tcp/ip,protocol",,cisco,,,,English,IT Certifications,
Cisco CCNA 200-301 ñ The Complete Guide to Getting Certified,https://www.udemy.com/course/ccna-complete/,4.8,124373,Neil Anderson,38.5 hours,,$13.99 ,,"routing,switching,vlan",,v,,,,English,IT Certifications,
MPLS Layer 3 VPN,https://www.udemy.com/course/mplsl3vpn/,4.6,5336,sikandar Shak,8 hours,,$19.99 ,,"mpls,vpn",,,,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish,Thai",Network & Security,
"Cisco Troubleshooting Labs For CCNA,CCNP,and CCIE Students",https://www.udemy.com/course/cisco-troubleshooting-labs-for-ccna-ccnp-and-ccie-students/,4.8,3413,Bassam Alkaff,6.5 hours,,$59.99 ,,"network troubleshooting,mpls",,cisco,,,,English,IT Certifications,
Zabbix 5 Application and Network Monitoring,https://www.udemy.com/course/zabbix-monitoring/,4.5,8557,Sean Bradley,10.5 hours,,$84.99 ,,"active versus passive items,network monitoring,smtp,prototype,http",,zabbix,,,,English,Network & Security,
Hacking Academy: How to Monitor & Intercept Transmitted Data,https://www.udemy.com/course/hacking-academy-monitoring-transmitted-data/,4.5,146394,"IT Security Academy,Hacking School",1.5 hours,,$84.99 ,,"network monitoring,intercept data,detect intrusion",,wireshark,,,,English,Network & Security,
"Learn How to Fix Wi-Fi,Computer,and Networking problems!",https://www.udemy.com/course/learn-how-to-fix-wi-fi-computer-and-networking-problems/,4.3,3972,Jeff Przybylski,2 hours,,$14.99 ,,"network troubleshooting,mpls",,,,,,English,Other IT & Software,
Juniper JNCIA-Junos JN0-104,https://www.udemy.com/course/jncia-juniper-networks-certified-associate-jn0-102/,4.7,6779,S2 Academy,10.5 hours,,$24.99 ,,"jncia,network troubleshooting",,juniper,,,,"English,Portuguese",IT Certifications,
Juniper JNCIA-Junos JN0-103 with Ben Jacobson,https://www.udemy.com/course/jncia-junos-with-ben-jacobson/,4.5,1810,Ben Jacobson,8.5 hours,,$19.99 ,,jncia,,juniper,,,,English,Network & Security,
Advanced Ethical Hacking: Network & Web PenTesting -Part III,https://www.udemy.com/course/advanced-ethical-hacking-network-web-pentesting-part-3/,4.4,140,JRDcademy Institution,9 hours,,$84.99 ,,"cross-site scripting,network scanning,nmap scanning,buffer overflows,dos attack,man-in-the-middle attack,antivirus",sql,"virtualbox ,kali linux,nikto,dirb,ettercap","linux,windows",,,English,Network & Security,
Usable Security,https://www.coursera.org/specializations/cyber-security#courses,4.6,93749,Jennifer Golbeck,12 hours,,Free,,"cybersecurity,usabilty,privacy,user interface",,,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Marylnad
Software Security,https://www.coursera.org/learn/software-security?specialization=cyber-security,4.6,68262,Michael Hicks,18 hours,,Free,,"fuzz testing,buffer overflow,sql injection,penetration test",,,,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Computer Science,University of Marylnad
Technical Support Fundamentals,https://www.coursera.org/learn/technical-support-fundamentals?specialization=google-it-support,4.8,957219,Google Career Certificates,25 hours,Beginner,Free,,"binary code,customer support,network troubleshooting",,scratch,linux,,Google IT Support Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking?specialization=google-it-support,4.7,395234,Google Career Certificates,34 hours,Beginner,Free,,"domain name system (dns),ipv4,network model,network troubleshooting,tcp/ip,dhcp,cloud computing,cloud storage",,,,,Google IT Support Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
Operating Systems and You: Becoming a Power User,https://www.coursera.org/learn/os-power-user?specialization=google-it-support,4.7,260036,Google Career Certificates,35 hours,Beginner,Free,,"command-line interface,network troubleshooting",powershell,,"linux,windows",,Google IT Support Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
System Administration and IT Infrastructure Services,https://www.coursera.org/learn/system-administration-it-infrastructure-services?specialization=google-it-support,4.7,221708,Google Career Certificates,28 hours,Beginner,Free,,"ldap,backup,directory service",,,,,Google IT Support Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
IT Security: Defense against the digital dark arts,https://www.coursera.org/learn/it-security?specialization=google-it-support,4.8,208552,Google Career Certificates,30 hours,Beginner,Free,,"cybersecurity,usabilty,privacy,user interface,firewall",,,,,Google IT Support Professional Certificate,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Information Technology,Google
Cybersecurity Basics,https://www.edx.org/course/cybersecurity-basics,,17689,Coreen Ryskamp,18 hours,Beginner,Free,,"cybersecurity,firewall,cryptography",,,,,IBM Cybersecurity Fundamentals,English,Computer Science,IBM
Cybersecurity Roles and Operating System Security,https://www.edx.org/course/cybersecurity-roles-and-technologies,,,Coreen Ryskamp,14 hours,Beginner,Free,,"cybersecurity,virtualization",,,"windows,mac/os,linux",,IBM Cybersecurity Fundamentals,English,Computer Science,IBM
Cybersecurity Compliance and System Administration,https://www.edx.org/course/cybersecurity-system-administration-and-framework-security,,,Coreen Ryskamp,12 hours,Beginner,Free,,"cybersecurity,internet security,cryptography",,,"windows,linux",,IBM Cybersecurity Fundamentals,English,Computer Science,IBM
Basic Network and Database Security,https://www.edx.org/course/basic-network-and-database-security,,,Coreen Ryskamp,12 hours,Beginner,Free,,"tcp/ip,cybersecurity,ips,ids,ehernet network,ip addressing,network address translation,dns,dhcp,udp",,,,,IBM Cybersecurity Fundamentals,English,Computer Science,IBM
AWS Master Class: Databases In The Cloud With AWS RDS,https://www.udemy.com/course/aws-master-class-databases-in-the-cloud-with-aws-rds/,4,8,"TetraNoodle Team,Manuj Aggarwal",5.5 hours,,$84.99 ,,failover,,"aws rds,aws vpc",aws,,,English,Database Design & Development,
Amazon DynamoDB: Build out NoSQL Databases in the AWS Cloud,https://www.udemy.com/course/amazon-dynamodb-build-out-nosql-databases-in-the-aws-cloud/,4.6,2,AWS Data Consultant,2.5 hours,,$84.99 ,,nosql,sql,"aws cli,amazon dynamodb",aws,,,English,Other IT & Software,
Bash Shell Programming for Data Sciences: Animated,https://www.udemy.com/course/hello-big-data-at-bash/,4.8,12,"Scientific Programmerô Team,Scientific Programming School",6.5 hours,,$19.99 ,,regular expressions,"bash,awk",,,,,English,Programming Languages,
Database modeling with golang & postgresql,https://www.udemy.com/course/database-modeling-with-golang-postgresql/,3.4,15194,VJ Bambhaniya,2.5 hours,,$19.99 ,,,"golang,portgresql",,,,,English,Database Design & Development,
Go: The Complete Developer's Guide (Golang),https://www.udemy.com/course/go-the-complete-developers-guide/,4.6,9116,Stephen Grider,9 hours,,$84.99 ,,,golang,,,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish,Thai",Programming Languages,
NGINX Fundamentals: High Performance Servers from Scratch,https://www.udemy.com/course/nginx-fundamentals/,4.8,30750,Ray Viljoen,4 hours,,$84.99 ,,,,nginx,,,,"English,Portuguese,Spanish",Network & Security,
The Complete SSL and TLS Guide 2022: HTTP to HTTPS,https://www.udemy.com/course/ssl-complete-guide/,4.5,30517,Bogdan Stashchuk,11 hours,,$84.99 ,,"ssl/tls,http,https,certificate authority,certificate signing request (csr)",,nginx,,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish,Thai",Web Development,
"GitLab CI: Pipelines,CI/CD and DevOps for Beginners",https://www.udemy.com/course/gitlab-ci-pipelines-ci-cd-and-devops-for-beginners/,4.6,45393,Valentin Despa,5 hours,,$39.99 ,,"ci/cd,ap testing,yaml,devops",,gitlab,aws,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish",Software Development Tools,
GitLab,https://www.udemy.com/course/gitlab-course/,1.6,102871,Learn Tech Plus,2.5 hours,,$84.99 ,,,,gitlab,,,,English,Software Development Tools,
Grafana,https://www.udemy.com/course/grafana-tutorial/,4.5,9442,Sean Bradley,6 hours,,$84.99 ,,,,"mysql,azbbix,influx db,telegraf,grafana,nginx,elasticsearch",,,,English,Network & Security,
Grafana Beginner to Advanced (3rd Edition),https://www.udemy.com/course/grafana-graphite-and-statsd-visualize-metrics/,4.3,13957,Aref Karimi,5.5 hours,,$84.99 ,,,"c#,powershell,bash","grafana,graphte,statsd,docker,sql server,mysql,elasticsearch",,,,"English,Portuguese,Spanish",Other IT & Software,
Monitoring and Alerting with Prometheus,https://www.udemy.com/course/monitoring-and-alerting-with-prometheus/,4.4,17517,"Edward Viaene,Jorn Jambers",4 hours,,$24.99 ,,,,"prometheus,grafana",,,,"English,French",Software Development Tools,
Apache Kafka Series - Kafka Monitoring & Operations,https://www.udemy.com/course/kafka-monitoring-and-operations/,4.8,11654,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",5 hours,,$84.99 ,,,command line interface,"zoonavigator,grafana prometheus",apache kafka,,,English,Other IT & Software,
Complete Guide to Elasticsearch,https://www.udemy.com/course/elasticsearch-complete-guide/,4.6,81497,Bo Andersen,12 hours,,$84.99 ,,,,"elasticsearch,logstash",,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish",Software Engineering,
Elasticsearch 7 and the Elastic Stack: In Depth and Hands On,https://www.udemy.com/course/elasticsearch-7-and-elastic-stack/,4.5,28223,"Sundog Education by Frank Kane,Frank Kane",16.5 hours,,$84.99 ,,,,"elasticsearch,logstash,filebeats,kibana","amazon's elasticsearch service,elastic cloud",,,"English,French,German,Italian,Portuguese",Business Analytics & Intelligence,
Complete Elasticsearch Masterclass with Logstash and Kibana,https://www.udemy.com/course/complete-elasticsearch-masterclass-with-kibana-and-logstash/,4.6,36915,Imtiaz Ahmad,6 hours,,$84.99 ,,,dsl,"elasticsearch,logstash,kibana",,,,"English,Indonesian,Italian,Polish,Portuguese,Romanian,Spanish,Thai",Database Design & Development,
AWS Cloud Technical Essentials,https://www.edx.org/course/aws-cloud-technical-essentials,,,"Alana Layton,Morgan Willis",16 hours,Beginner,Free,,"cloud computing security,storage",,,aws,,"Modern Application Development with Node.js on AWS Specialization,Modern Application Development with Python on AWS Specialization,Modern Application Development with Java on AWS Specialization,DevOps on AWS Specialization",English,Computer Science,AWS
