Name,Link,Rating,Enroll,Instructor,Time,Level,Price,Practice Task,Knowledge,Programing Language,Tool,Platform,Framework,Program,Subtitle,Subject,Organization
Mastering Agile Software Development and Deployment,https://www.edx.org/course/mastering_agile_software_development_and_deployment,,,"Armando Fox,David Patterson",35 hours,Intermediate,Free,,"agile,design patterns,refactoring,devops",,,,,Mastering Agile Development of Software as a Service,English,Computer Science,"Berkeley,Universty of California"
Exploring GraphQL: A Query Language for APIs,https://www.edx.org/course/exploring-graphql-a-query-language-for-apis?index=product&queryID=a71c9a1e7cb958aa8c423d28f3f63998&position=1,,20804,"Allison Colyer,Rohit Ravikoti",8 hours,Beginner,Free,,,graphql,,,,,English,Computer Science,The Linux Foundation
"NodeJS - The Complete Guide (MVC,REST APIs,GraphQL,Deno)",https://www.udemy.com/course/nodejs-the-complete-guide/,4.7,150123,Maximilian Schwarzm¸ller,40.5 hours,,$84.99 ,,"rest api,graphql api,mvc,web socket",sql,"node.js,mongodb",,,,"Arabic,French,Portuguese (European),Italian,Vietnamese,German,Russian,English,Spanish",Programming Language,
The Ultimate Hands-On Hadoop: Tame your Big Data!,https://www.udemy.com/course/the-ultimate-hands-on-hadoop-tame-your-big-data/,4.6,145356,Frank Kare,14.5 hours,,$84.99 ,,"distributed system,hadoop distributed file system (hdfs),spark streaming",,"mapreduce,hive,mysql,hbase,cassandra,mongodb,apache drill,apache phoenix,presto,yarn,tez,mesos,zookeeper,zeppelin,hue,oozie,apache spark,sqoop,apache flume","apache pig,apache hadoop,apache flink",apache kafka,,"English,Portuguese,Spanish",Business Analytics & Intelligence,
"Database Architecture,Scale,and NoSQL with Elasticsearch",https://www.edx.org/course/database-architecture-scale-and-nosql-with-elasticsearch?index=product&queryID=7a8cd0ace21db340855edbee7f77b3b4&position=1,,,Charles Severance,8 hours,Beginner,Free,,acid,sql,"postgresql,elasticsearch",,,,English,Computer Science,University of Michigan
"Database Architecture,Scale,and NoSQL with Elasticsearch",https://www.coursera.org/learn/database-architecture-scale-nosql-elasticsearch-postgresql?,4.4,2668,Charles Severance,10 hours,Intermediate,Free,,acid,sql,"postgresql,elasticsearch",,,,English,Computer Science,University of Michigan
Introduction to Database Queries,https://www.edx.org/course/introduction-to-database-queries,,14861,Aspen Olmsted,40 hours,Beginner,Free,,relation database management system (rdms),sql,,,,Introduction to Databases,English,Computer Science,NYUx
Advanced Database Queries,https://www.edx.org/course/advanced-database-queries,,,Aspen Olmsted,40 hours,Intermediate,Free,,,sql,,,,Introduction to Databases,English,Computer Science,NYUx
The Complete Node.js Developer Course (3rd Edition),https://www.udemy.com/course/the-complete-nodejs-developer-course-2/,4.7,261098,"Andrew Mead,Rob Percival",35 hours,,$84.99 ,,"express web server,rest api,asynchronous programming,web socket,code testing",javascript,"mongoose,mongodb,node.js,github,git,socket.io",,jest,,"English,French,German,Indonesian,Italian,Portuguese,Spanish",Programming Languages,
PHP with Laravel for beginners - Become a Master in Laravel,https://www.udemy.com/course/php-with-laravel-for-beginners-become-a-master-in-laravel/,4.4,47009,Edwin Diaz,43 hours,,$84.99 ,,"lavarel orm,crud,form validation,mvc",php,"blade,git,github,mysql,node.is",,lavarel,,"English,French,German,Indonesian,Italian,Portuguese,Spanish",Web Development,
