Enroll,Rate,Level,NumberOfCourse,Tool
7,4.5,,1,KANBAN
7,4.5,,1,UML
7,4.5,,1,OBJECT-ORIENTED PROGRAMMING
7,4.5,,1,SCRUM
7,4.5,,1,WATERFALL
8,2.9,,1,OBJECT ORIENTED
589,4.2,,1,TESTING TECHNIQUES
589,4.2,,1,TEST CASE
589,4.2,,1,SOFTWARE TESTING
589,4.2,,1,BUG REPORT
589,4.2,,1,SOFTWARE DEVELOPMENTLIFE CYCLE
589,4.2,,1,BUG LIFE CYCLE
589,4.2,,1,TESTINGTYPES
961,3.7,,1,MANUAL AND AUTOMATION TESTING
15,4.4,,1,REQUIREMENTS GATHERING
15,4.4,,1,NON-FUNCTIONAL REQUIREMENTS
15,4.4,,1,FUNCTIONAL REQUIREMENTS
15,4.4,,1,SDLC
15,4.4,,1,SOFTWARE DEVELOPMENT LIFE CYCLE
15,3.8,,1,MICROSERVICES
15,3.8,,1,DEVOPS
15,3.8,,1,SOFTWARE DEVELOPMENT LIFECYCLE
15,3.8,,1,SDLC
0,2.7,,1,ANTIPATTERNS
0,2.7,,1,SOFTWARE DEVELOPMENT ANTIPATTERNS
11,4.6,,1,SOFTWARE DEVELOPMENT
11,4.6,,1,KANBAN
14,4.5,,1,DECORATOR PATTERN
14,4.5,,1,COMMAND PATTERN
14,4.5,,1,SINGLETON PATTERN
14,4.5,,1,BEHAVIORAL DESIGN PATTERNS
14,4.5,,1,PROTOTYPE PATTERN
14,4.5,,1,FACTORY PATTERN
14,4.5,,1,OPEN / CLOSED PRINCIPLE
14,4.5,,1,FACADE PATTERN
14,4.5,,1,BUILDER PATTERN
14,4.5,,1,SOLID
14,4.5,,1,MODEL-VIEW-CONTROLLER
14,4.5,,1,VISITOR PATTERN
14,4.5,,1,INTERFACE SEGREGATION PRINCIPLE
14,4.5,,1,STRATEGY PATTERN
14,4.5,,1,CREATIONAL DESIGN PATTERNS
14,4.5,,1,DEPENDENCY INVERSION PRINCIPLE
14,4.5,,1,SINGLE RESPONSIBILITY
14,4.5,,1,MVC
14,4.5,,1,STRUCTURAL DESIGN PATTERNS
14,4.5,,1,TEMPLATE PATTERN
14,4.5,,1,SOFTWARE ARCHITECTURE
14,4.5,,1,ADAPTER PATTERN
14,4.5,,1,DESIGN PATTERNS
14,4.5,,1,LISKOV SUBSTITUTION PRINCIPLE
14,4.5,,1,OBJECT ORIENTED DESIGN
149,3.7,,1,PRODUCT MANAGEMENT
149,3.7,,1,MVP
394,3.7,,1,SOFTWARE TESTING
394,3.7,,1,QUALITY ASSURANCE
394,3.7,,1,SOFTWARE DEVELOPMENT LIFE CYCLE
394,3.7,,1,SDLC
43,4.5,,1,DEFECT LIFE CYCLE
43,4.5,,1,WATER FALL MODEL
43,4.5,,1,AGILE
43,4.5,,1,PROJECT MANAGEMENT
43,4.5,,1,SDLC
43,4.5,,1,TESTDRIVEN
43,4.5,,1,SOFTWARE TESTING
43,4.5,,1,KANBAN
43,4.5,,1,QA PROCESS
43,4.5,,1,BEHAVIOUR DRIVEN
43,4.5,,1,SOFTWARE DEVELOPMENT LIFE CYCLE
43,4.5,,1,SCRUM
160,4.0,,1,DSDM
160,4.0,,1,AGILE DEVELOPMENT
160,4.0,,1,AGILE
160,4.0,,1,XP
160,4.0,,1,WATERFALL LIFECYCLE
160,4.0,,1,ASD
160,4.0,,1,SCRUM
3,3.5,,1,AUTOMATED TESTING
3,3.5,,1,TEST DRIVEN DEVELOPMENT
3,3.5,,1,SOFTWARE TESTING
3,3.5,,1,SOFTWARE TESTING LIFECYCLE
3,3.5,,1,SOFTWARE DEVELOPMENT LIFE CYCLE
1,4.2,,1,WRITE REQUIREMENTS
780,4.7,,1,ANDROID GAME DEVELOPMENT
780,4.7,,1,GAME DEVELOPMENT
18,2.9,,1,ANDROID GAME DEVELOPMENT
21,3.4,,1,GAME PROGRAMMING
21,3.4,,1,ANDROID GAME DEVELOPMENT
3,3.8,,1,AUGMENTED REALITY
3,3.8,,1,AI
286,3.7,,1,GAME DEVELOPMENT
8,4.2,,1,ANDROID DEVELOPMENT
8,4.2,,1,ANDROID GAME DEVELOPMENT
8,4.2,,1,ANDROID GAME PROGRAMMING
8,4.2,,1,GAME PROGRAMMING
170,4.3,,1,ANDROID GAME DEVELOPMENT
170,4.3,,1,GAME DEVELOPMENT
950,3.9,,1,OBJECT ORIENTED PROGRAMMING
950,3.9,,1,DESIGN PATTERNS
950,3.9,,1,GAME ARCHITECTURE
342,4.6,,1,GAME DEVELOPMENT
297,3.0,,1,ALGORITHM
226,4.3,,1,ANDROID GAME DEVELOPMENT
226,4.3,,1,GAME DEVELOPMENT
17,4.4,,1,ANDROID GAME DEVELOPMENT
17,4.4,,1,ANDROID APP DEVELOPMENT
17,4.4,,1,OBJECT ORIENTED PROGRAMMING
17,4.4,,1,AI
17,4.4,,1,GUI
3,4.5,,1,APP DEVELOPMENT
3,4.5,,1,DATA STREAM NETWORK
3,4.1,,1,ANDROID DEVELOPMENT
3,4.1,,1,GAME DEVELOPMENT
3,4.1,,1,ANDROID APP DEVELOPMENT
3,4.0,,1,ANDROID GAME DEVELOPMENT
3,4.0,,1,OBJECT-ORIENTED PROGRAMMING
1,4.5,,1,API
1,4.5,,1,WEB DEVELOPMENT
1,3.5,,1,APPDEVELOPMENT
1,3.5,,1,ANDROID GAME DEVELOPMENT
1,3.5,,1,GAME DEVELOPMENT
862,3.6,,1,VR
862,3.6,,1,VIRTUAL REALITY GAMES
862,3.6,,1,ARTIFICIAL INTELLIGENCE
862,3.6,,1,OBJECT ORIENTED PROGRAMMING
862,3.6,,1,AI
862,3.6,,1,VIRTUAL REALITY
862,3.6,,1,GAME DEVELOPMENT
23,4.6,,1,ANDROID DEVELOPMENT
23,4.6,,1,GAME PROGRAMMING
23,4.6,,1,OBJECT ORIENTED
1,3.6,,1,ANDROID GAME
1,3.6,,1,GAME DEVELOPMENT
10,4.1,,1,ANDROID GAME DEVELOPMENT
10,4.1,,1,GAME DEVELOPMENT
2,3.7,,1,OBJECT ORIENTED PROGRAMMING
2,3.7,,1,IMAGE ANIMATION
2,3.7,,1,GAME DEVELOPMENT
2,3.7,,1,ANDROID PROGRAMMING
1,3.6,,1,WEB DEVELOPMENT
431,2.8,,1,GAME PROGRAMMING
431,2.8,,1,GAME DEVELOPMENT
418,3.7,,1,GAME PROGRAMMING
418,3.7,,1,ANDROID DEVELOPMENT
418,3.7,,1,OBJECT ORIENTED PROGRAMMING
1,2.0,,1,GAME DEVELOPMENT
1,2.0,,1,GAME APP DEVELOPMENT
1,3.7,,1,WEB DEVELOPMENT
1,3.7,,1,APP DEVELOPMENT
1,3.7,,1,GAME DEVELOPMENT
17,4.5,,1,BACKUP AND RESTORE
17,4.5,,1,RECOVERY
8,4.4,,1,SECURITY
8,4.4,,1,DATA WAREHOUSING
8,4.4,,1,DATA ANALYTICS
8,4.4,,1,AZURE MONITORING
8,4.4,,1,DATA LAKE
8,4.4,,1,AZURE SECURITY
8,4.4,,1,BIG DATA ANALYTICS
8,4.4,,1,BACKUP AND RESTORE
8,4.4,,1,DATA WAREHOUSE
8,4.4,,1,DATA FACTORY
8,4.4,,1,SYNAPSE DATA WAREHOUSE
8,4.4,,1,AZURE STORAGE
8,4.4,,1,DATABASE
8,4.4,,1,BI
361,4.1,,1,AND LOAD (ETL)
361,4.1,,1,TRANSFORM
361,4.1,,1,EXTRACT
361,4.1,,1,BUSINESS INTELLIGENCE (BI)
367,4.6,,1,DATA VISUALIZATION
367,4.6,,1,DATA MODELING
367,4.6,,1,DATA TRANSFORMATION
27,4.4,,1,BUSINESS INTELLIGENCE
22,4.7,,1,SECURITY
22,4.7,,1,RELATIONAL DATABASE MANAGEMENT SYSTEM
22,4.7,,1,DATABASE MIGRATION
22,4.7,,1,PERFORMANCE REGULARLY
22,4.7,,1,BACKUP
909,4.5,,1,PERFORMANCE TUNING
1,5.0,,1,SECURITY
1,5.0,,1,PERFORMANCEREGULARLY
1,5.0,,1,BACKUP
2,4.0,,1,ETL
2,4.0,,1,DATA WAREHOUSING
2,4.0,,1,DATA WAREHOUSE
2,4.0,,1,RELATIONAL DATABASES
3,4.2,,1,ETL
3,4.2,,1,SLOWLY CHANGING DIMENSION (SCD)
2,4.3,,1,PERFORMANCE TUNING
29,4.0,,1,SECURITY
29,4.0,,1,NOT-ONLY-SQL
29,4.0,,1,NON-SQL
29,4.0,,1,DATA STORAGE
29,4.0,,1,MONITOR DATABASES
29,4.0,,1,MAINTENANCE
29,4.0,,1,NOSQL DATABASES
29,4.0,,1,BIG DATA
29,4.0,,1,NOSQL
195,4.3,,1,DATABASE MANAGEMENT
195,4.3,,1,RDBMS
4,4.5,,1,FTP
7,4.0,,1,MULTIDIMENSIONAL OLAP DATABASE
7,4.0,,1,CLUSTERING
7,4.0,,1,DECISION TREES
7,4.0,,1,TIME SERIES
