Enroll,Rate,Level,NumberOfCourse,Framework
5,4.3,,1,SQL SERVER REPORTING SERVICES (SSRS)
5,4.3,,1,SQL SERVER INTEGRATION SERVICES (SSIS)
29,4.0,,1,MARIADB
29,4.0,,1,IBM DB2
876,3.6,,1,POSTGRESQL
19,4.6,,1,POSTGRESQL
7,4.3,,1,POSTGRESQL
5,4.4,,1,POSTGRESQL
5,4.5,,1,POSTGRESQL
3,4.2,,1,POSTGRESQL
5,3.8,,1,POSTGRESQL
25,4.5,,1,POSTGRESQL
29,4.0,,1,POSTGRESQL
195,4.3,,1,MICROSOFT SQL SERVER MANAGEMENT STUDIO
195,4.3,,1,MICROSOFT SQL SERVER CONFIGURATION MANAGER
7,4.0,,1,SSRS
4,4.5,,1,SSRS
7,4.0,,1,SQL SERVER ANALYSIS SERVICES (SSAS)
7,4.0,,1,SSDT
7,4.0,,1,MASTER DATA SERVICES (MDS)
7,4.0,,1,DATA QUALITY SERVICES ( DQS )
7,4.3,,1,PGADMIN
849,3.8,,1,ORACLE DATABASEC
16,4.3,,1,ORACLE DATABASEC
1,4.5,,1,ORACLE DATABASES
1,4.2,,1,ORACLE DATABASES
961,4.2,,1,ORACLE DATABASES
1,4.4,,1,TOAD
1,4.5,,1,AWR
1,4.2,,1,AWR
635,4.2,,1,RMAN
1,4.8,,1,RMAN
635,4.2,,1,ORACLEC DATABASE
635,4.2,,1,ORACLE ENTERPRISE MANAGER
635,4.2,,1,OEM
1,4.2,,1,RDBMS
7,4.7,,1,ORACLEG
7,4.7,,1,ORACLEC
1,4.5,,1,EM EXPRESS
1,4.5,,1,V$ VIEWS
1,4.5,,1,SQLTRACING
1,4.5,,1,ASH
1,4.5,Intermediate,1,LINUX
64,4.4,Basic,1,HADOOP
18,4.7,Basic,1,HADOOP
3,4.1,Basic,1,HADOOP
64,4.4,Basic,1,SPARK
18,4.7,Basic,1,SPARK
1,3.7,Basic,1,SPARK
3,4.1,Basic,1,SPARK
3,4.6,Basic,1,SPARK
142,4.6,,1,ZEPPELIN
272,4.6,,1,YARN
142,4.6,,1,YARN
142,4.6,,1,ZOOKEEPER
142,4.6,,1,HUE
142,4.6,,1,OOZIE
142,4.6,,1,MESOS
33,4.7,Intermediate,1,QWIKLABS
6,4.6,Intermediate,1,JUPYTER NOTEBOOK
4,4.3,Intermediate,1,JUPYTER NOTEBOOK
4,4.3,Intermediate,1,IBM WATSON STUDIO
120,4.8,Basic,1,MICROSOFT EXCEL
6,4.6,Intermediate,1,WATSON STUDIO
2,4.6,Intermediate,1,MAXQDA
437,4.6,,1,SAP
2,4.2,Advanced,1,IBM WATSON STUDIO
2,4.2,Advanced,1,WATSON STUDIO
30,4.8,Basic,1,MATLAB
66,4.8,Basic,1,EXCEL
0,0.0,Intermediate,1,QUICK BI
147,3.9,,1,MS EXCEL
147,3.9,,1,EXCEL WORKBOOK
0,4.3,,1,EXCEL
168,3.6,,1,EXCEL
147,3.9,,1,EXCEL
1,4.2,,1,BUSINESS INTELLIGENCE
1,4.2,,1,EXCELS
5,4.6,,1,QGIS
0,3.8,,1,QLIKVIEW
0,3.8,,1,QLIK
0,3.8,,1,LIKVIE
13,4.6,,1,GOOGLE SHEETS
13,4.6,,1,MICROSOFT POWER BI
13,4.6,,1,EXCEL PIVOT TABLES
13,4.6,,1,POWER PIVOT
0,4.3,,1,MICROSOFT EXCEL
37,4.7,,1,MICROSOFT EXCEL
0,4.3,,1,SAS
3,4.6,,1,SAS
24,4.1,,1,PYCHARM
6,4.8,Basic,1,TIDYVERSE
0,4.6,Basic,1,TIDYVERSE
0,0.0,,1,GGPLOT2
0,4.9,,1,TIDYVERSE
1,4.9,,1,TIDYVERSE
0,4.8,,1,TIDYVERSE
0,0.0,Intermediate,1,HADOOP
10,3.9,Intermediate,1,HADOOP
5,4.4,Intermediate,1,HADOOP
228,4.7,Intermediate,1,HADOOP
19,4.4,Intermediate,1,HADOOP
18,4.4,Intermediate,1,HADOOP
2,4.1,Intermediate,1,BEAM PORTABILITY
272,4.6,,1,HADOOP
57,4.3,,1,HADOOP
90,4.7,,1,HADOOP
13,4.4,,1,SPARK
61,4.6,,1,SPARK
83,4.4,,1,SPARK
57,4.3,,1,SPARK
90,4.7,,1,SPARK
0,0.0,Intermediate,1,GGPLOT2
11,3.9,Intermediate,1,GGPLOT2
0,0.0,Intermediate,1,KERAS
0,0.0,Intermediate,1,PYTORCH
0,0.0,Intermediate,1,SCIKIT LEARN
4,4.3,Intermediate,1,MATPLOTLIB
137,4.5,Intermediate,1,MATPLOTLIB
8,4.1,Intermediate,1,PANDAS
24,4.4,Intermediate,1,PANDAS
4,4.3,Intermediate,1,PANDAS
137,4.5,Intermediate,1,PANDAS
13,4.5,Advanced,1,TENSORFLOW
30,4.5,Intermediate,1,SPARK
0,0.0,Intermediate,1,SPARK
51,3.9,Intermediate,1,SPARK
228,4.7,Intermediate,1,SPARK
19,3.8,Intermediate,1,SPARK
29,4.0,Advanced,1,SPARK
10,3.8,Advanced,1,SPARK
10,3.8,Advanced,1,HADOOP
18,4.8,Basic,1,FACT
105,4.7,Advanced,1,SCIKIT-LEARN
2,4.2,Advanced,1,SCIKIT-LEARN
2,4.2,Advanced,1,NUMPY
105,4.7,Advanced,1,MATPLOTLIB
2,4.2,Advanced,1,MATPLOTLIB
