Enroll,Rate,Level,NumberOfCourse,Platform
5,4.8,Basic,1,GOOGLE CLOUD
0,0.0,Basic,1,GOOGLE CLOUD
2,4.1,Intermediate,1,GOOGLE CLOUD
0,2.8,,1,D3
2,2.7,,1,D3.JS
0,2.8,,1,D3.JS
7,4.6,,1,SCIKIT-LEARN
294,4.0,,1,SCIKIT-LEARN
2,4.2,Advanced,1,SCIKIT-LEARN
4,4.3,Intermediate,1,SCIKIT-LEARN
29,4.0,Advanced,1,SPARK SQL
29,4.0,Advanced,1,SPARK GRAPHFRAMES
29,4.0,Advanced,1,SPARK DATAFFRAMES
396,3.6,,1,URLLIB2
396,3.6,,1,BEAUTIFULSOUP
396,3.6,,1,SCIKIT LEARN
720,3.4,,1,PYSPARK
720,3.4,,1,PYSPARK API UTILITY
720,3.4,,1,MAPREDUCE
24,4.1,,1,COREML
24,4.1,,1,TENSFORFLOW
0,4.0,Advanced,1,DATAFLOW
0,0.0,Advanced,1,DATAFLOW
2,4.1,Intermediate,1,DATAFLOW
0,4.0,Advanced,1,APACHE BEAM
2,4.1,Intermediate,1,APACHE BEAM
10,4.8,,1,SAS VIYA
20,4.7,Basic,1,SAS VIYA
20,4.7,Basic,1,SAS VISUAL ANALYTICS
30,4.5,Intermediate,1,BIGQUERY
3,4.7,Basic,1,BIGQUERY
4,4.2,Intermediate,1,BIGQUERY
14,4.7,Intermediate,1,BIGQUERY
18,4.6,Basic,1,BIGQUERY
228,4.7,Intermediate,1,BIGQUERY
52,4.7,Basic,1,BIGQUERY
0,0.0,Basic,1,BIGQUERY
3,4.1,Basic,1,CATALYST
3,4.1,Basic,1,TUNGSTEN
0,0.0,Basic,1,IBM COGNOS ANALYTICS
7,4.6,Basic,1,CLOUDTRAIL
7,4.6,Basic,1,AWS QUICKSIGHT
7,4.6,Basic,1,ATHENA
52,4.7,Basic,1,CLOUD DATAPREP
228,4.7,Intermediate,1,CLOUD SQL
15,3.6,,1,PIG
228,4.7,Intermediate,1,PIG
228,4.7,Intermediate,1,DATAPROC
18,4.6,Basic,1,GOOGLE DATA STUDIO
0,4.5,Basic,1,AZURE SYNAPSE ANALYTICS
0,4.5,Basic,1,AZURE HDINSIGHT
0,4.5,Basic,1,AZURE DATABRICKS
8,4.6,,1,MICROSTRATEGY
8,4.6,,1,PENTAHO DATA INTEGRATION
6,3.7,Intermediate,1,DATA FACTORY
6,3.7,Intermediate,1,DATABRICKS
15,3.6,,1,COMMERCIAL CLOUD
15,4.3,Intermediate,1,SPLITS API
15,4.3,Intermediate,1,TFDS API
15,4.3,Intermediate,1,TENSORFLOW HUB
15,4.3,Intermediate,1,TENSORFLOW DATA SERVICES APIS
10,3.9,Intermediate,1,HORTONWORKS
5,4.4,Intermediate,1,HORTONWORKS
30,4.5,Intermediate,1,QWIKLABS
14,4.7,Intermediate,1,QWIKLABS
33,4.7,Intermediate,1,QWIKLABS
9,4.7,Basic,1,APACHE HIVE
3,4.7,Basic,1,GOOGLE CLOUD LABS
0,4.3,Advanced,1,GOOGLE CLOUD LABS
30,4.5,Intermediate,1,CLOUD DATA FUSION
0,4.3,Advanced,1,CLOUD DATA FUSION
18,4.7,Basic,1,IBM SPSS STATISTICS
0,0.0,Intermediate,1,QUICK BI
0,0.0,Intermediate,1,MAXCOMPUTE
30,4.5,Intermediate,1,CLOUD DATAFLOW
30,4.5,Intermediate,1,CLOUD DATAPROC
0,0.0,Intermediate,1,GOOGLE CLOUD LAB
0,4.4,Intermediate,1,ALIBABA CLOUD
29,4.0,Advanced,1,HIVE
