CourseName,CourseLink,CourseLevel,CourseDuration,CoursePrice,Enroll,Rate,Organization,Website,LinkToWebsite
Introduction to R Programming for Data Science,https://www.coursera.org/learn/introducton-r-programming-data-science,Basic,11.0,0.0,6,4.6,IBM,coursera,www.coursera.org
Introduzione alla Data Visualization con Tableau,https://www.coursera.org/learn/introduzione-data-visualization-tableau,Basic,18.0,0.0,0,0.0,Universit� di Napoli Federico II,coursera,www.coursera.org
"Java Programming: Arrays, Lists, and Structured Data",https://www.coursera.org/learn/java-programming-arrays-lists-data,Basic,14.0,0.0,124,4.7,Duke University,coursera,www.coursera.org
Inheritance and Data Structures in Java,https://www.coursera.org/learn/java-inheritance-data-structures,Basic,21.0,0.0,2,4.5,University of Pennsylvania,coursera,www.coursera.org
Data Manipulation in JavaScript,https://www.coursera.org/learn/javascript-data-manipulation,Basic,19.0,0.0,0,0.0,"University of California, Davis",coursera,www.coursera.org
Advanced Data Visualization with R,https://www.coursera.org/learn/jhu-advanced-data-visualization-r,,11.0,0.0,2,4.8,Johns Hopkins University,coursera,www.coursera.org
Data Visualization in R with ggplot2,https://www.coursera.org/learn/jhu-data-visualization-r,Intermediate,13.0,0.0,3,4.9,Johns Hopkins University,coursera,www.coursera.org
Getting Started with Data Visualization in R,https://www.coursera.org/learn/jhu-getting-started-data-viz-r,Basic,12.0,0.0,6,4.8,Johns Hopkins University,coursera,www.coursera.org
Big Data Applications: Machine Learning at Scale,https://www.coursera.org/learn/machine-learning-applications-big-data,Advanced,28.0,0.0,10,3.8,Yandex,coursera,www.coursera.org
Introduction to Clinical Data Science,https://www.coursera.org/learn/introduction-clinical-data-science,Intermediate,8.0,0.0,12,4.6,University of Colorado System,coursera,www.coursera.org
Introduction to Statistics & Data Analysis in Public Health,https://www.coursera.org/learn/introduction-statistics-data-analysis-public-health,Basic,16.0,0.0,31,4.7,Imperial College London,coursera,www.coursera.org
Introduction to Big Data with Spark and Hadoop,https://www.coursera.org/learn/introduction-to-big-data-with-spark-hadoop,Basic,12.0,0.0,3,4.1,IBM,coursera,www.coursera.org
Introduction to Data Engineering,https://www.coursera.org/learn/introduction-to-data-engineering,Basic,11.0,0.0,19,4.7,IBM,coursera,www.coursera.org
Introduction to Designing Data Lakes on AWS,https://www.coursera.org/learn/introduction-to-designing-data-lakes-in-aws,Intermediate,14.0,0.0,6,4.7,Amazon Web Services,coursera,www.coursera.org
Introduction to Data Analytics,https://www.coursera.org/learn/introduction-to-data-analytics,Basic,11.0,0.0,120,4.8,IBM,coursera,www.coursera.org
Introduction to Relational Databases (RDBMS),https://www.coursera.org/learn/introduction-to-relational-databases,Basic,14.0,0.0,5,4.6,IBM,coursera,www.coursera.org
IBM Data Privacy for Information Architecture,https://www.coursera.org/learn/ibm-data-privacy,,10.0,0.0,0,4.7,IBM,coursera,www.coursera.org
IBM Data Topology,https://www.coursera.org/learn/ibm-data-topology,Intermediate,6.0,0.0,0,4.8,IBM,coursera,www.coursera.org
Information Security: Context and Introduction,https://www.coursera.org/learn/information-security-data,Basic,24.0,0.0,64,4.7,"University of London,Royal Holloway, University of London",coursera,www.coursera.org
Innovating with Data and Google Cloud,https://www.coursera.org/learn/innovating-with-data-google-cloud,Basic,2.0,0.0,5,4.8,Google Cloud,coursera,www.coursera.org
Introduction to Accounting Data Analytics and Visualization,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,Basic,19.0,0.0,18,4.8,University of Illinois at Urbana-Champaign,coursera,www.coursera.org
"Intro to Analytic Thinking, Data Science, and Data Mining",https://www.coursera.org/learn/intro-analyticthinking-datascience-datamining,Intermediate,7.0,0.0,3,4.0,"University of California, Irvine",coursera,www.coursera.org
Introduction to Clinical Data,https://www.coursera.org/learn/introduction-clinical-data,Basic,12.0,0.0,7,4.6,Stanford University,coursera,www.coursera.org
Using clinical health data for better healthcare,https://www.coursera.org/learn/healthcare-data,Basic,15.0,0.0,6,4.7,The University of Sydney,coursera,www.coursera.org
Healthcare Data Literacy,https://www.coursera.org/learn/healthcare-data-literacy,Intermediate,13.0,0.0,9,4.5,"University of California, Davis",coursera,www.coursera.org
Healthcare Data Quality and Governance,https://www.coursera.org/learn/healthcare-data-quality-governance,Intermediate,12.0,0.0,4,4.5,"University of California, Davis",coursera,www.coursera.org
AI Workflow: Business Priorities and Data Ingestion,https://www.coursera.org/learn/ibm-ai-workflow-business-priorities-data-ingestion,Intermediate,8.0,0.0,4,4.3,IBM,coursera,www.coursera.org
AI Workflow: Data Analysis and Hypothesis Testing,https://www.coursera.org/learn/ibm-ai-workflow-data-analysis-hypothesis-testing,Advanced,11.0,0.0,2,4.2,IBM,coursera,www.coursera.org
Exploratory Data Analysis for Machine Learning,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning,Intermediate,8.0,0.0,23,4.6,IBM,coursera,www.coursera.org
