Enroll,Rate,Level,NumberOfCourse,ProgrammingLanguage
1,4.5,Intermediate,2,GOOGLE CLOUD PLATFORM
1,4.5,Intermediate,2,AZURE
1,4.5,Intermediate,2,AWS
142,4.6,,1,PIG
557,3.2,,1,PIG
936,3.5,,1,PIG
45,4.4,,1,PIG
142,4.6,,1,HBASE
1,4.4,,1,HBASE
936,3.5,,1,HBASE
45,4.4,,1,HBASE
759,4.4,,1,GOOGLE CLOUD PLATFORM
775,4.2,,1,GOOGLE CLOUD PLATFORM
572,4.1,,1,GOOGLE CLOUD PLATFORM
7,4.3,,1,GOOGLE CLOUD PLATFORM
45,4.4,,1,GOOGLE CLOUD PLATFORM
747,3.7,,1,HIVE
142,4.6,,1,HIVE
557,3.2,,1,HIVE
936,3.5,,1,HIVE
45,4.4,,1,HIVE
775,4.2,,1,GCP
936,3.5,,1,GCP
759,4.4,,2,BIGQUERY
936,3.5,,1,BIGQUERY
936,3.5,,1,KUBERNETE
936,3.5,,1,CLOUD SQL
936,3.5,,1,GCE
936,3.5,,1,GOOGLE COMPUTE ENGINE
1,4.1,,1,REDSHIFT
3,3.5,,1,AZURE STREAM ANALYTICS
759,4.4,,2,BIG QUERY
759,4.4,,1,GOOGLE'S CLOUD
775,4.2,,1,GOOGLE CLOUD DATAPROC
775,4.2,,1,CLOUD DATAPROC
557,3.2,,1,ELASTICSEARCH)
142,4.6,,1,MAPREDUCE
557,3.2,,1,MAPREDUCE
557,3.2,,1,ELASTICSEARCH
557,3.2,,1,APACHE PIG
557,3.2,,1,MR
557,3.2,,1,APACHEHIVE
142,4.6,,1,SQOOP
142,4.6,,1,PHOENI
142,4.6,,1,PRESTO
142,4.6,,1,AMBARI
142,4.6,,1,CASSANDRA
142,4.6,,1,SPARK STREAMING
142,4.6,,1,FLINK
142,4.6,,1,STORM
142,4.6,,1,DRILL
142,4.6,,1,FLUME
142,4.6,,1,KAFKA
142,4.6,,1,HORTONWORKS
1,4.5,Intermediate,1,AMAZON WEB SERVICES
3,4.6,Basic,1,CLOUDANT
3,4.6,Basic,1,MONGODB
3,4.6,Basic,1,IBM CLOUDANT
3,4.6,Basic,1,CASSANDRA
10,4.8,,1,SAS VIYA
42,4.5,,1,SAS
0,0.0,Intermediate,1,MAXCOMPUTE
0,0.0,Intermediate,1,HIVE
29,4.0,Advanced,1,HIVE
29,4.0,Advanced,1,MAPREDUCE
747,3.7,,1,MAP REDUCE
772,4.5,,1,GOOGLE EARTH ENGINE
13,4.6,,1,GOOGLE DATA STUDIO
4,4.1,Intermediate,1,SPARQL
18,4.1,Intermediate,1,SQL
9,4.6,Intermediate,1,SQL
0,0.0,Intermediate,1,SQL
10,3.9,Intermediate,1,SQL
4,4.2,Intermediate,1,SQL
25,4.8,Intermediate,1,SQL
14,4.7,Intermediate,1,SQL
19,4.4,Intermediate,1,SQL
19,3.8,Intermediate,1,SQL
12,4.6,Intermediate,1,SQL
57,4.7,Intermediate,1,SQL
4,4.5,Intermediate,1,SQL
30,3.5,Intermediate,1,SQL
160,4.6,Intermediate,1,SQL
10,4.8,Intermediate,1,SQL
39,4.9,Intermediate,1,SQL
90,4.7,,1,SCALA
90,4.7,,1,SPARK
90,4.7,,1,C/C++
6,4.6,Intermediate,1,PYTHON
634,4.5,Intermediate,1,PYTHON
8,4.1,Intermediate,1,PYTHON
0,0.0,Intermediate,2,PYTHON
1,4.5,Intermediate,1,PYTHON
25,4.8,Intermediate,1,PYTHON
59,4.7,Intermediate,1,PYTHON
6,4.4,Intermediate,1,PYTHON
205,4.6,Intermediate,1,PYTHON
7,4.5,Intermediate,1,PYTHON
41,4.5,Intermediate,1,PYTHON
19,3.8,Intermediate,1,PYTHON
10,4.4,Intermediate,1,PYTHON
23,4.6,Intermediate,1,PYTHON
4,4.3,Intermediate,1,PYTHON
24,4.4,Intermediate,1,PYTHON
18,4.8,Basic,1,VISUAL BASIC
105,4.7,Advanced,1,PYTHON
2,4.2,Advanced,1,PYTHON
512,4.8,Basic,1,QUERY LANGUAGES
57,4.7,Intermediate,1,CSS
57,4.7,Intermediate,1,HTML
29,4.0,Advanced,1,SQL
1,0.0,Advanced,1,SQL
0,4.0,Advanced,1,SQL
39,4.9,Intermediate,1,PHP
1,4.9,,1,GGPLOT2
13,4.6,Intermediate,1,C#
205,4.6,Intermediate,1,C++
84,4.8,Intermediate,1,JAVA
205,4.6,Intermediate,1,JAVA
