,ProgrammingLanguage,Framework,Knowledge,Tool,Platform,jobCount
49532,PYTHON,HADOOP,GAMBLING,SAS,,128
49534,PYTHON,HADOOP,MODELING,SAS,,128
49535,PYTHON,HADOOP,TEST HYPOTHESES,SAS,,128
49536,PYTHON,HADOOP,CHI-SQUARE,SAS,,128
49537,PYTHON,HADOOP,STATISTICAL TESTS,SAS,,128
49538,PYTHON,HADOOP,PEARSON CORRELATION ANALYSIS,SAS,,128
49539,PYTHON,HADOOP,STATISTICAL,SAS,,128
49477,PYTHON,HADOOP,API,JUPYTER NOTEBOOKS,,128
49509,PYTHON,HADOOP,API,SAS,,128
49533,PYTHON,HADOOP,LOGISTIC REGRESSION,SAS,,128
49507,PYTHON,HADOOP,STATISTICAL,JUPYTER NOTEBOOKS,,128
49492,PYTHON,HADOOP,BIG DATA,JUPYTER NOTEBOOKS,,128
49478,PYTHON,HADOOP,XPATH,JUPYTER NOTEBOOKS,,128
49506,PYTHON,HADOOP,PEARSON CORRELATION ANALYSIS,JUPYTER NOTEBOOKS,,128
49479,PYTHON,HADOOP,UNITTEST,JUPYTER NOTEBOOKS,,128
49480,PYTHON,HADOOP,CSS SELECTORS,JUPYTER NOTEBOOKS,,128
49482,PYTHON,HADOOP,DATA ANALYSIS,JUPYTER NOTEBOOKS,,128
49483,PYTHON,HADOOP,COMPUTER SCIENCE,JUPYTER NOTEBOOKS,,128
49484,PYTHON,HADOOP,REGRESSION,JUPYTER NOTEBOOKS,,128
49485,PYTHON,HADOOP,STATISTICS,JUPYTER NOTEBOOKS,,128
49486,PYTHON,HADOOP,ANOVA,JUPYTER NOTEBOOKS,,128
49487,PYTHON,HADOOP,CORRELATION ANALYSIS,JUPYTER NOTEBOOKS,,128
49488,PYTHON,HADOOP,DATA SCIENCE,JUPYTER NOTEBOOKS,,128
49489,PYTHON,HADOOP,STATISTICAL THINKING,JUPYTER NOTEBOOKS,,128
49490,PYTHON,HADOOP,STATISTICAL ANALYSIS,JUPYTER NOTEBOOKS,,128
49491,PYTHON,HADOOP,DATA PARALLEL,JUPYTER NOTEBOOKS,,128
49481,PYTHON,HADOOP,NOSETESTS,JUPYTER NOTEBOOKS,,128
49493,PYTHON,HADOOP,MAPREDUCE,JUPYTER NOTEBOOKS,,128
49499,PYTHON,HADOOP,DATA ANALYTICS,JUPYTER NOTEBOOKS,,128
49494,PYTHON,HADOOP,PROTOCOLS WEB BROWSERS,JUPYTER NOTEBOOKS,,128
49505,PYTHON,HADOOP,STATISTICAL TESTS,JUPYTER NOTEBOOKS,,128
49503,PYTHON,HADOOP,TEST HYPOTHESES,JUPYTER NOTEBOOKS,,128
49501,PYTHON,HADOOP,LOGISTIC REGRESSION,JUPYTER NOTEBOOKS,,128
49500,PYTHON,HADOOP,GAMBLING,JUPYTER NOTEBOOKS,,128
49502,PYTHON,HADOOP,MODELING,JUPYTER NOTEBOOKS,,128
49504,PYTHON,HADOOP,CHI-SQUARE,JUPYTER NOTEBOOKS,,128
49497,PYTHON,HADOOP,OBJECT ORIENTED,JUPYTER NOTEBOOKS,,128
49496,PYTHON,HADOOP,APIS,JUPYTER NOTEBOOKS,,128
49498,PYTHON,HADOOP,DATA STRUCTURES,JUPYTER NOTEBOOKS,,128
49495,PYTHON,HADOOP,REGULAR EXPRESSIONS,JUPYTER NOTEBOOKS,,128
19037,JAVA,SPARK,GOOGLE MAPSAPI,GEOFENCING APP,,65
19033,JAVA,SPARK,DRAWABLES,GEOFENCING APP,,65
19034,JAVA,SPARK,FILE CACHE,GEOFENCING APP,,65
19035,JAVA,SPARK,APPLICATION DEVELOPMENT,GEOFENCING APP,,65
19036,JAVA,SPARK,ANDROID LOLLIPOP APP DEVELOPMENT,GEOFENCING APP,,65
19042,JAVA,SPARK,DATABASE TESTING,GEOFENCING APP,,65
19038,JAVA,SPARK,CONTINUOUS INTEGRATION,GEOFENCING APP,,65
19040,JAVA,SPARK,PERFORMANCE TESTING,GEOFENCING APP,,65
19043,JAVA,SPARK,CROSS-BROWSER TESTING,GEOFENCING APP,,65
19032,JAVA,SPARK,MEMORY,GEOFENCING APP,,65
19041,JAVA,SPARK,BEHAVIOR DRIVEN TESTING,GEOFENCING APP,,65
19039,JAVA,SPARK,WEB AUTOMATION,GEOFENCING APP,,65
19027,JAVA,SPARK,SETUP AND ACCESS THE SHERLOCK EXTENSION,GEOFENCING APP,,65
19031,JAVA,SPARK,XML,GEOFENCING APP,,65
19030,JAVA,SPARK,CANVAS,GEOFENCING APP,,65
19029,JAVA,SPARK,ANDROID NATIVE APPLICATION,GEOFENCING APP,,65
19028,JAVA,SPARK,ANDROID APIS,GEOFENCING APP,,65
19026,JAVA,SPARK,ANDROID APPLICATION,GEOFENCING APP,,65
19025,JAVA,SPARK,DATA ANALYSIS,GEOFENCING APP,,65
19024,JAVA,SPARK,DATA PARALLEL,GEOFENCING APP,,65
19023,JAVA,SPARK,BIG DATA,GEOFENCING APP,,65
19022,JAVA,SPARK,MAPREDUCE,GEOFENCING APP,,65
19045,JAVA,SPARK,AUTOMATION FRAMEWORK DESIGN,GEOFENCING APP,,65
19021,JAVA,SPARK,WEB APPLICATION,GEOFENCING APP,,65
19020,JAVA,SPARK,WEB APPLICATION ARCHITECTURE,ANDROID KITKAT4,,65
19044,JAVA,SPARK,WEB UI AUTOMATION,GEOFENCING APP,,65
19059,JAVA,SPARK,XPATH,GEOFENCING APP,,65
19046,JAVA,SPARK,WEB APPLICATIONS,GEOFENCING APP,,65
19047,JAVA,SPARK,REST SERVICES,GEOFENCING APP,,65
19070,JAVA,SPARK,SOFTWARE ARCHITECTURE,GEOFENCING APP,,65
19018,JAVA,SPARK,ANDROID PROGRAMMING,ANDROID KITKAT4,,65
19069,JAVA,SPARK,ANDROID APP DEVELOPMENT,GEOFENCING APP,,65
19068,JAVA,SPARK,API,GEOFENCING APP,,65
19067,JAVA,SPARK,MOBILE DEVELOPMENT,GEOFENCING APP,,65
19066,JAVA,SPARK,ANDROID DEVELOPMENT,GEOFENCING APP,,65
19065,JAVA,SPARK,RICH INTERNET APPLICATION,GEOFENCING APP,,65
19064,JAVA,SPARK,RIA,GEOFENCING APP,,65
19063,JAVA,SPARK,MOBILE APPLICATIONS,GEOFENCING APP,,65
19062,JAVA,SPARK,WEBDRIVERWAIT,GEOFENCING APP,,65
19061,JAVA,SPARK,CSS SELECTORS,GEOFENCING APP,,65
19060,JAVA,SPARK,UNIT TEST,GEOFENCING APP,,65
19058,JAVA,SPARK,AJAX,GEOFENCING APP,,65
19057,JAVA,SPARK,TEST AUTOMATION,GEOFENCING APP,,65
19056,JAVA,SPARK,CLOUD SERVER,GEOFENCING APP,,65
19055,JAVA,SPARK,PARSE WEBSITE,GEOFENCING APP,,65
19054,JAVA,SPARK,ASO,GEOFENCING APP,,65
19053,JAVA,SPARK,GRAPHICS EDITING,GEOFENCING APP,,65
19052,JAVA,SPARK,MOBILE APPLICATION,GEOFENCING APP,,65
19051,JAVA,SPARK,ANDROID APP,GEOFENCING APP,,65
19050,JAVA,SPARK,ANDROID APPS,GEOFENCING APP,,65
19049,JAVA,SPARK,SOUND EDITING,GEOFENCING APP,,65
19048,JAVA,SPARK,MOBILE APPLICATIONS DEVELOPMENT,GEOFENCING APP,,65
19019,JAVA,SPARK,WEB APPLICATION DEVELOPMENT,ANDROID KITKAT4,,65
18986,JAVA,SPARK,WEB AUTOMATION,ANDROID KITKAT4,,65
19017,JAVA,SPARK,SOFTWARE ARCHITECTURE,ANDROID KITKAT4,,65
18990,JAVA,SPARK,CROSS-BROWSER TESTING,ANDROID KITKAT4,,65
18988,JAVA,SPARK,BEHAVIOR DRIVEN TESTING,ANDROID KITKAT4,,65
18987,JAVA,SPARK,PERFORMANCE TESTING,ANDROID KITKAT4,,65
18985,JAVA,SPARK,CONTINUOUS INTEGRATION,ANDROID KITKAT4,,65
